Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021
..National Capital Region (NCR),124217,132888,138760,146700,162509,178986,195867,212226,230893,235516,256845,267954,289444,312009,332838,352467,377155,401598,432181,461671,420207,440906,242562,244602,242361,249042,264871,273641,284066,298240,306504,301237,315056,317279,331732,348028,361400,378334,399186,415210,432181,456532,405655,418530
..Cordillera Administrative Region (CAR),66055,68201,73581,77899,85310,88486,95465,99205,105076,107641,117134,122141,121430,130777,139346,141660,146940,159756,173651,179759,163465,177598,104918,106912,109696,113281,117233,117299,119725,126402,129061,130012,136007,134894,133531,140813,146332,150875,153326,165997,173651,179544,159800,170398
..Region I (Ilocos Region),30635,32133,34079,36094,40199,44268,48086,51312,57163,59308,65720,69514,73332,80140,86675,89496,96707,102915,113471,120613,113439,121194,57049,57512,58493,60355,62702,64811,67788,70955,72214,71301,76596,78711,81961,88011,92821,96803,103501,108156,113471,120625,110396,114544
..Region II (Cagayan Valley),30478,32544,33302,33672,39420,40156,45383,49592,55394,57685,59604,65003,70692,79789,89298,87924,92584,101390,107568,110333,100426,108288,56113,57318,57369,58019,62328,60309,65358,68693,69437,70018,71925,75528,79773,85799,91869,94483,97760,104093,107568,113688,101457,105560
..Region III (Central Luzon),44790,48278,52549,56201,61042,66456,71334,75406,85170,85705,96288,105686,114072,121174,133020,134943,143451,159443,173452,180481,151385,164775,85897,88989,91971,93910,94814,96450,98898,102578,105689,104264,112461,118910,126398,131413,138907,144578,152793,165346,173452,180396,152779,161484
..Region IV-A (CALABARZON),64234,69288,71236,76293,82683,89865,96613,102528,107282,104163,117379,121691,129004,134961,142957,144351,149661,160625,175563,182040,159748,170276,112147,110259,111939,114120,116718,119214,120991,124105,124955,120608,129388,128940,135585,141870,146378,152658,159196,167558,175563,179868,157838,166756
..MIMAROPA Region,28701,30571,34816,39051,41596,48078,50895,56647,65652,68178,69680,75941,81570,84434,94612,92788,95562,105511,119813,119786,107924,119151,54186,55088,61963,66766,67988,72956,74481,80157,82767,85169,84521,86466,89778,92222,100057,103380,106828,111920,119813,123356,112692,115096
..Region V (Bicol Region),20616,22004,23427,24401,27205,29208,30752,34157,38502,41704,45308,48490,53486,58837,64112,68262,73610,78481,86916,92373,84262,91171,37539,38135,39042,40584,42182,43846,44685,47298,49030,51769,54101,55246,60016,65260,68277,74590,78905,82254,86916,93050,84412,87219
..Region VI (Western Visayas),29053,30157,32180,33970,37071,40497,44303,48022,54072,57914,60875,66308,72392,76945,82697,88727,94682,102914,110783,117302,107629,117588,52007,52466,53129,55461,58877,61019,63522,66914,69246,72232,74687,78430,83114,85751,89300,95036,99606,106750,110783,116631,104412,109664
..Region VII (Central Visayas),35182,37964,39889,41630,46546,51350,55634,60830,67038,69402,79123,85449,95761,104244,114079,120360,130130,139860,152478,161787,147054,153651,66803,68427,68489,70182,73631,77448,79668,84692,87550,88700,97730,102962,110698,117557,124284,129774,137074,144511,152478,159686,142630,148463
..Region VIII (Eastern Visayas),28680,30523,32038,33686,38886,42726,47108,47511,56407,59668,61815,65357,62588,67965,70023,73279,83761,87192,96204,97322,87355,93695,54465,55140,56080,58543,61124,63863,67300,68526,70860,72623,75879,76779,73747,77018,75958,79537,89634,91113,96204,100261,91678,95962
..Region IX (Zamboanga Peninsula),25179,26262,27338,28610,31341,34924,38696,43145,49153,52950,57138,60758,67543,71386,77109,82999,88047,93325,101872,106305,104374,112382,54039,53889,54242,55470,56827,59934,61123,64677,65555,68932,70228,69391,76188,79230,84110,90817,94529,96610,101872,105711,99477,104439
..Region X (Northern Mindanao),34854,38023,43184,47183,53141,57179,62190,68293,77486,81832,91659,99512,105965,112432,123669,130066,142868,152911,167832,178607,171498,187057,72466,75674,81472,84991,90124,93081,97422,102615,106248,107779,112438,117095,123562,128724,137481,143166,152094,158825,167832,175018,163728,172022
..Region XI (Davao Region),41467,43053,46153,49549,55331,58951,62570,68273,75982,81486,90029,95917,97856,104857,115610,123401,135702,148272,164042,177082,168329,180075,77603,77917,80499,84471,88109,90010,92421,96274,98168,101133,105883,108088,113748,118716,127296,135185,145260,155504,164042,172912,157484,164214
..Region XII (SOCCSKSARGEN),30261,31162,34856,37532,42514,43794,47419,53069,59345,60804,68120,73450,75779,82953,88632,87659,92642,100269,106737,109949,106725,113637,58797,57888,62205,64647,66813,66670,69401,72338,74311,74226,75307,77479,82105,87891,91649,93199,95643,101425,106737,108812,102594,106547
..Region XIII (Caraga),24926,26337,28780,31027,34626,37190,41601,47738,50393,52055,58881,63449,72193,77006,87369,90671,95710,102656,107932,111248,106271,119244,46141,47597,49591,51133,53308,54871,57627,60472,61292,61645,67150,70920,77279,83485,89794,94598,99153,103863,107932,112471,103520,109826
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),14902,14453,16961,18157,22048,24153,26576,27650,29891,30896,35651,37369,39533,41111,43123,40537,42391,47404,51898,55039,55107,59044,31983,30403,33732,34848,37043,38373,39816,40993,40754,41177,43804,43873,43760,44462,45889,44970,45577,49170,51898,53825,51758,54535
Philippines,48194,51415,54496,57959,64161,69977,76035,82032,90088,92229,101510,107662,115371,123575,133172,138289,147590,158940,172712,181920,165039,176142,91047,91964,93520,96386,100763,103765,107264,112175,114938,114534,120780,123270,129513,135922,142139,148670,156663,164885,172712,180661,161235,168224
